name,developer,price
Driver Parallel Lines,Ubisoft Reflections,999
Tom Clancy's EndWar,Ubisoft  ShanghaÃ¯,999
Call of Juarez: Bound in Blood,Techland,249
World of Goo,2D BOY,1499
Mount & Blade,TaleWorlds Entertainment,999
Penumbra: Black Plague Gold Edition,Frictional Games,199
Hearts of Iron 2 Complete,Paradox Development Studio,1499
Penumbra: Requiem,Frictional Games,0
Penumbra Overture,Frictional Games,199
Zeno Clash,ACE Team,999
Rock of Ages,ACE Team,999
Fallout 3,Bethesda Game Studios,999
Rogue Warrior,Rebellion,499
The Elder Scrolls III: Morrowind Game of the Year Edition,Bethesda Game Studios,1499
The Elder Scrolls IV: Oblivion Game of the Year Edition,Bethesda Game Studios,1499
Call of Cthulhu: Dark Corners of the Earth,Headfirst Productions,499
BRINK,Splash Damage,0
Fallout 3: Game of the Year Edition,Bethesda Game Studios,1999
Fallout: New Vegas,Obsidian Entertainment,999
Hunted: The Demonâ€™s Forge,inXile Entertainment,499
Spectromancer,Obsidian Entertainment,999
Worms Reloaded,"Apus Software, Three Donkeys LLC",699
Alien Breed: Impact,Team17 Digital Ltd,399
Alien Breed 2: Assault,Team17 Software Ltd.,999
Alien Breed 3: Descent,Team17 Digital Ltd,999
Fluttabyes,Team17 Digital Ltd,999
Yosumin!,Red Chain Games Ltd.,199
Gyromancer,Square Enix,599
Imperium Romanum Gold Edition,"Square Enix, PopCap Games, Inc.",599
Europa Universalis: Rome - Gold Edition ,Haemimont Games,999
Grand Ages: Rome,Paradox Development Studio,999
Grand Ages: Rome - Reign of Augustus,Haemimont Games,999
Ceville,Haemimont Games,699
Tropico 3,Realmforge Studios,399
Puzzle Quest: Galactrix,Haemimont Games,999
Earth Defense Force: Insect Armageddon,Infinite Interactive,999
Depths of Peril,"Vicious Cycle Software, Inc.",999
Puzzle Kingdoms,Soldak Entertainment,999
Train Simulator 2022,Infinite Interactive,1499
DC Universe Online,Dovetail Games,2999
PAYDAY The Heist,Dimensional Ink Games,0
King Arthur - The Role-playing Wargame,OVERKILL Software,1499
Crusaders: Thy Kingdom Come,NeocoreGames,124
Aquaria,NeocoreGames,999
King Arthur: Fallen Champions,"Bit Blot, LLC",999
King Arthur II: The Role-Playing Wargame,NeocoreGames,124
Trainz: Classic Cabon City,NeocoreGames,999
Trainz Settle and Carlisle,N3V Games,1999
Trainz: Murchison 2,N3V Games,1999
Trainz Simulator 12,N3V Games,0
SPORE Galactic Adventures,N3V Games,999
SimCity 4 Deluxe Edition,EA - Maxis,499
Command & Conquer 3: Tiberium Wars,"EA - Maxis, Aspyr (Mac)",499
Command & Conquer: Red Alert 3 - Uprising,EA Los Angeles,374
Command & Conquer 3: Kane's Wrath,EA Los Angeles,499
Need for Speed: Shift,EA Los Angeles,374
Battlefield: Bad Company 2,Slightly Mad Studios,0
Mass Effect 2 (2010),DICE,374
Overgrowth,BioWare,1999
